,id_measurement,hard_voted_class,avg_probability,soft_voted_class
0,2904,1,0.39055103,0.0
1,2905,0,0.09135952,0.0
2,2906,0,0.106252834,0.0
3,2907,0,0.17663601,0.0
4,2908,0,0.06914337,0.0
5,2909,0,0.14903094,0.0
6,2910,0,0.27789813,0.0
7,2911,0,0.07665233,0.0
8,2912,0,0.2469708,0.0
9,2913,0,0.15058956,0.0
10,2914,0,0.2279875,0.0
11,2915,0,0.19807705,0.0
12,2916,1,0.89895886,1.0
13,2917,0,0.086184785,0.0
14,2918,1,0.6927663,1.0
15,2919,0,0.14189096,0.0
16,2920,0,0.19108932,0.0
17,2921,0,0.12573415,0.0
18,2922,0,0.29438952,0.0
19,2923,0,0.26106206,0.0
20,2924,0,0.07508342,0.0
21,2925,0,0.13808677,0.0
22,2926,0,0.14550135,0.0
23,2927,0,0.17838039,0.0
24,2928,0,0.25307244,0.0
25,2929,0,0.20566568,0.0
26,2930,0,0.10402197,0.0
27,2931,0,0.21247247,0.0
28,2932,0,0.11128949,0.0
29,2933,0,0.123917356,0.0
30,2934,0,0.20914452,0.0
31,2935,0,0.3244188,0.0
32,2936,0,0.21174774,0.0
33,2937,0,0.09644661,0.0
34,2938,0,0.21294577,0.0
35,2939,0,0.4992656,0.0
36,2940,1,0.47807628,0.0
37,2941,0,0.08299448,0.0
38,2942,0,0.3134638,0.0
39,2943,0,0.3246747,0.0
40,2944,0,0.22525008,0.0
41,2945,0,0.22151129,0.0
42,2946,0,0.123535894,0.0
43,2947,0,0.20604718,0.0
44,2948,0,0.098462135,0.0
45,2949,0,0.07287331,0.0
46,2950,0,0.23909111,0.0
47,2951,1,0.72089136,1.0
48,2952,0,0.09769584,0.0
49,2953,0,0.25065216,0.0
50,2954,0,0.28252882,0.0
51,2955,1,0.78571904,1.0
52,2956,0,0.09337739,0.0
53,2957,0,0.20099545,0.0
54,2958,0,0.107437804,0.0
55,2959,0,0.09973766,0.0
56,2960,0,0.19501916,0.0
57,2961,1,0.46243924,0.0
58,2962,0,0.11251138,0.0
59,2963,0,0.18547949,0.0
60,2964,0,0.24677992,0.0
61,2965,0,0.14605448,0.0
62,2966,1,0.42778206,0.0
63,2967,1,0.9105895,1.0
64,2968,0,0.23414914,0.0
65,2969,0,0.17322871,0.0
66,2970,0,0.09363727,0.0
67,2971,0,0.14176211,0.0
68,2972,0,0.21382093,0.0
69,2973,1,0.59475565,1.0
70,2974,0,0.10006058,0.0
71,2975,0,0.0771144,0.0
72,2976,0,0.09904735,0.0
73,2977,0,0.093110606,0.0
74,2978,0,0.2603622,0.0
75,2979,0,0.0863654,0.0
76,2980,1,0.47374615,0.0
77,2981,1,0.41629124,0.0
78,2982,0,0.09363924,0.0
79,2983,0,0.46616793,0.0
80,2984,0,0.09635989,0.0
81,2985,0,0.20544414,0.0
82,2986,0,0.25126153,0.0
83,2987,0,0.28203028,0.0
84,2988,0,0.23729403,0.0
85,2989,0,0.08122288,0.0
86,2990,0,0.17276207,0.0
87,2991,0,0.17428075,0.0
88,2992,0,0.09534896,0.0
89,2993,0,0.27024862,0.0
90,2994,1,0.8313335,1.0
91,2995,0,0.13711995,0.0
92,2996,0,0.21764688,0.0
93,2997,0,0.11472492,0.0
94,2998,0,0.17848098,0.0
95,2999,1,0.9338583,1.0
96,3000,0,0.17932558,0.0
97,3001,0,0.082245074,0.0
98,3002,0,0.14473534,0.0
99,3003,0,0.13702922,0.0
100,3004,0,0.23065081,0.0
101,3005,0,0.078929536,0.0
102,3006,0,0.2716695,0.0
103,3007,0,0.20788491,0.0
104,3008,0,0.10831519,0.0
105,3009,0,0.25578892,0.0
106,3010,0,0.18741181,0.0
107,3011,0,0.16980581,0.0
