,id_measurement,hard_voted_class,avg_probability,soft_voted_class
0,2904,1,0.6580448,1.0
1,2905,0,0.09329577,0.0
2,2906,0,0.093954,0.0
3,2907,0,0.18533562,0.0
4,2908,0,0.085194394,0.0
5,2909,0,0.2096264,0.0
6,2910,0,0.22649184,0.0
7,2911,0,0.07457693,0.0
8,2912,0,0.1613662,0.0
9,2913,0,0.089520015,0.0
10,2914,0,0.17401727,0.0
11,2915,0,0.16311619,0.0
12,2916,1,0.8112329,1.0
13,2917,0,0.10633932,0.0
14,2918,1,0.7992259,1.0
15,2919,0,0.106602095,0.0
16,2920,0,0.15096313,0.0
17,2921,0,0.09755286,0.0
18,2922,0,0.17347907,0.0
19,2923,0,0.1691781,0.0
20,2924,0,0.084232256,0.0
21,2925,0,0.11031498,0.0
22,2926,0,0.11920389,0.0
23,2927,0,0.14037868,0.0
24,2928,0,0.15920554,0.0
25,2929,0,0.19199368,0.0
26,2930,0,0.07452841,0.0
27,2931,0,0.19397905,0.0
28,2932,0,0.10603696,0.0
29,2933,0,0.10119581,0.0
30,2934,0,0.15697244,0.0
31,2935,0,0.1669158,0.0
32,2936,0,0.2548525,0.0
33,2937,0,0.079052754,0.0
34,2938,0,0.12893808,0.0
35,2939,0,0.22849254,0.0
36,2940,1,0.7058259,1.0
37,2941,0,0.070058055,0.0
38,2942,0,0.15824936,0.0
39,2943,0,0.29134193,0.0
40,2944,0,0.27302343,0.0
41,2945,0,0.16413969,0.0
42,2946,0,0.10415004,0.0
43,2947,0,0.2813893,0.0
44,2948,0,0.08014683,0.0
45,2949,0,0.09024215,0.0
46,2950,0,0.1600084,0.0
47,2951,1,0.8493713,1.0
48,2952,0,0.107524075,0.0
49,2953,0,0.11424748,0.0
50,2954,0,0.21740851,0.0
51,2955,1,0.7787892,1.0
52,2956,0,0.09278211,0.0
53,2957,0,0.13718744,0.0
54,2958,0,0.09895965,0.0
55,2959,0,0.162301,0.0
56,2960,0,0.1094386,0.0
57,2961,1,0.83640397,1.0
58,2962,0,0.08890248,0.0
59,2963,0,0.2023756,0.0
