,id_measurement,probability,class
0,2904,0.015730502,0.0
1,2905,0.0045722215,0.0
2,2906,0.0030873253,0.0
3,2907,0.0040176865,0.0
4,2908,0.0013730865,0.0
5,2909,0.0030445247,0.0
6,2910,0.0032143875,0.0
7,2911,0.002191693,0.0
8,2912,0.002172027,0.0
9,2913,0.0010410144,0.0
10,2914,0.0022857634,0.0
11,2915,0.0022839417,0.0
12,2916,0.46063462,0.0
13,2917,0.0020523984,0.0
14,2918,0.58545095,1.0
15,2919,0.0037971206,0.0
16,2920,0.0023444858,0.0
17,2921,0.002875347,0.0
18,2922,0.01145591,0.0
19,2923,0.019742142,0.0
20,2924,0.003563872,0.0
21,2925,0.0031724987,0.0
22,2926,0.0029413789,0.0
23,2927,0.002489461,0.0
24,2928,0.003498423,0.0
25,2929,0.0017287378,0.0
26,2930,0.0023114153,0.0
27,2931,0.0118835475,0.0
28,2932,0.0030135722,0.0
29,2933,0.0022094746,0.0
30,2934,0.0027867786,0.0
31,2935,0.0032590246,0.0
32,2936,0.008170175,0.0
33,2937,0.0020114111,0.0
34,2938,0.0022645495,0.0
35,2939,0.0023637433,0.0
36,2940,0.032531437,0.0
37,2941,0.0022743163,0.0
38,2942,0.0010774385,0.0
39,2943,0.0030022701,0.0
40,2944,0.008974709,0.0
41,2945,0.004023831,0.0
42,2946,0.0019701049,0.0
43,2947,0.0034217604,0.0
44,2948,0.0034425622,0.0
45,2949,0.0018254505,0.0
46,2950,0.0040485314,0.0
47,2951,0.13337563,0.0
48,2952,0.0015799506,0.0
49,2953,0.0022491715,0.0
50,2954,0.0054425495,0.0
51,2955,0.06429971,0.0
52,2956,0.002161853,0.0
53,2957,0.004207485,0.0
54,2958,0.003206776,0.0
55,2959,0.0020861034,0.0
56,2960,0.0050192378,0.0
57,2961,0.0921335,0.0
58,2962,0.0022260384,0.0
59,2963,0.0036706268,0.0
60,2964,0.015312236,0.0
61,2965,0.0020154996,0.0
62,2966,0.0053735236,0.0
63,2967,0.7527917,1.0
64,2968,0.0045331917,0.0
65,2969,0.0023753075,0.0
66,2970,0.0036912253,0.0
67,2971,0.0010744935,0.0
68,2972,0.0035362844,0.0
69,2973,0.006332495,0.0
70,2974,0.0031008022,0.0
71,2975,0.0029260768,0.0
72,2976,0.0023906948,0.0
73,2977,0.004099493,0.0
74,2978,0.007017352,0.0
75,2979,0.0023526575,0.0
76,2980,0.015383279,0.0
77,2981,0.013243413,0.0
78,2982,0.0013660749,0.0
79,2983,0.010122176,0.0
80,2984,0.0023036497,0.0
81,2985,0.0031824065,0.0
82,2986,0.0026246044,0.0
83,2987,0.0024550345,0.0
84,2988,0.002260058,0.0
85,2989,0.0021983825,0.0
86,2990,0.00097586034,0.0
87,2991,0.0036076873,0.0
88,2992,0.0027492165,0.0
89,2993,0.0016043001,0.0
90,2994,0.43450016,0.0
91,2995,0.0018289856,0.0
92,2996,0.0013286422,0.0
93,2997,0.0016342573,0.0
94,2998,0.0018569812,0.0
95,2999,0.72187763,1.0
96,3000,0.001154594,0.0
97,3001,0.0016384436,0.0
98,3002,0.0014896294,0.0
99,3003,0.003540568,0.0
100,3004,0.0020363224,0.0
101,3005,0.002004489,0.0
102,3006,0.0043029473,0.0
103,3007,0.0019955784,0.0
104,3008,0.004031756,0.0
105,3009,0.0025155235,0.0
106,3010,0.0038553781,0.0
107,3011,0.0031816366,0.0
108,3012,0.0022382662,0.0
109,3013,0.56824106,1.0
110,3014,0.001725603,0.0
111,3015,0.0060823173,0.0
112,3016,0.0029644337,0.0
113,3017,0.009379795,0.0
114,3018,0.0054042437,0.0
115,3019,0.0028485493,0.0
116,3020,0.0020166729,0.0
117,3021,0.0107971085,0.0
118,3022,0.0023952548,0.0
119,3023,0.0034160416,0.0
120,3024,0.13676165,0.0
121,3025,0.00144968,0.0
122,3026,0.0014367268,0.0
123,3027,0.0024378074,0.0
124,3028,0.0020415229,0.0
125,3029,0.0025238262,0.0
126,3030,0.0034447452,0.0
127,3031,0.0021247477,0.0
128,3032,0.0018477874,0.0
129,3033,0.0025068687,0.0
130,3034,0.005796143,0.0
131,3035,0.0091313,0.0
132,3036,0.0014743395,0.0
133,3037,0.001694805,0.0
134,3038,0.0022030345,0.0
135,3039,0.0077260276,0.0
136,3040,0.003268212,0.0
137,3041,0.0027452086,0.0
138,3042,0.0017631121,0.0
139,3043,0.0024091993,0.0
140,3044,0.0020000641,0.0
141,3045,0.0033689267,0.0
142,3046,0.007466334,0.0
143,3047,0.0030374597,0.0
144,3048,0.0020445844,0.0
145,3049,0.004657077,0.0
146,3050,0.0035258266,0.0
147,3051,0.0018027913,0.0
148,3052,0.0027194174,0.0
149,3053,0.00398189,0.0
150,3054,0.0024727597,0.0
151,3055,0.67022014,1.0
152,3056,0.0018906377,0.0
153,3057,0.0020040323,0.0
154,3058,0.0034261444,0.0
155,3059,0.0025466864,0.0
156,3060,0.0024266774,0.0
157,3061,0.0025199389,0.0
158,3062,0.002467991,0.0
159,3063,0.22097689,0.0
160,3064,0.097665355,0.0
161,3065,0.0053312574,0.0
162,3066,0.0031794414,0.0
163,3067,0.001364963,0.0
164,3068,0.000979027,0.0
165,3069,0.0033274656,0.0
166,3070,0.00302401,0.0
167,3071,0.0021289985,0.0
168,3072,0.0017687271,0.0
169,3073,0.029191572,0.0
170,3074,0.0043256823,0.0
171,3075,0.0016246794,0.0
172,3076,0.6498915,1.0
173,3077,0.0012218613,0.0
174,3078,0.004447875,0.0
175,3079,0.003411216,0.0
176,3080,0.007706666,0.0
177,3081,0.0025548998,0.0
178,3082,0.005518577,0.0
179,3083,0.0131049,0.0
180,3084,0.003218691,0.0
181,3085,0.0017262766,0.0
182,3086,0.7528902,1.0
183,3087,0.0020466724,0.0
184,3088,0.0022250218,0.0
185,3089,0.0017365275,0.0
186,3090,0.002728638,0.0
187,3091,0.001985373,0.0
188,3092,0.0022597474,0.0
189,3093,0.0032135765,0.0
190,3094,0.0012554904,0.0
191,3095,0.0018955629,0.0
192,3096,0.0015640641,0.0
193,3097,0.0027392674,0.0
194,3098,0.00370217,0.0
195,3099,0.018458549,0.0
196,3100,0.001993407,0.0
197,3101,0.0018534457,0.0
198,3102,0.003558263,0.0
199,3103,0.0024493635,0.0
200,3104,0.0027016196,0.0
201,3105,0.0037250943,0.0
202,3106,0.0030907998,0.0
203,3107,0.0066828,0.0
204,3108,0.005717828,0.0
205,3109,0.0022274824,0.0
206,3110,0.0067713093,0.0
207,3111,0.0022748574,0.0
208,3112,0.052802775,0.0
209,3113,0.0020409506,0.0
210,3114,0.018744523,0.0
211,3115,0.013985243,0.0
212,3116,0.0020114284,0.0
213,3117,0.0042651426,0.0
214,3118,0.0018272463,0.0
215,3119,0.0015104436,0.0
216,3120,0.0068689347,0.0
217,3121,0.11457786,0.0
218,3122,0.004074104,0.0
219,3123,0.011962541,0.0
220,3124,0.0017501666,0.0
221,3125,0.0013626971,0.0
222,3126,0.0015987395,0.0
223,3127,0.0070035364,0.0
224,3128,0.0014514246,0.0
225,3129,0.0019293957,0.0
226,3130,0.006848359,0.0
227,3131,0.002167691,0.0
228,3132,0.0020947494,0.0
229,3133,0.0019820426,0.0
230,3134,0.0022560777,0.0
231,3135,0.003985587,0.0
232,3136,0.0026566563,0.0
233,3137,0.0015300908,0.0
234,3138,0.0020227395,0.0
235,3139,0.0031507683,0.0
236,3140,0.015127225,0.0
237,3141,0.20555128,0.0
238,3142,0.003595095,0.0
239,3143,0.0032030041,0.0
240,3144,0.0027795883,0.0
241,3145,0.0014251337,0.0
242,3146,0.0052065514,0.0
243,3147,0.002424627,0.0
